"ZIP
code [1]",Size of adjusted gross income,Adjusted gross income (AGI) [5]
,,
,,(17)
10552,"$50,000 under $75,000",117011
10552,"$75,000 under $100,000",112463
10552,"$100,000 under $200,000",266291
10552,"$200,000 or more",261428
,,
10553,,"305,381"
10553,"$1 under $25,000",26138
10553,"$25,000 under $50,000",59333
10553,"$50,000 under $75,000",58675
10553,"$75,000 under $100,000",44976
10553,"$100,000 under $200,000",89910
10553,"$200,000 or more",26349
,,
10560,,"439,821"
10560,"$1 under $25,000",5248
10560,"$25,000 under $50,000",11591
10560,"$50,000 under $75,000",14596
10560,"$75,000 under $100,000",17106
10560,"$100,000 under $200,000",67471
10560,"$200,000 or more",323809
,,
10562,,"1,396,945"
10562,"$1 under $25,000",58778
10562,"$25,000 under $50,000",120607
10562,"$50,000 under $75,000",135090
10562,"$75,000 under $100,000",133479
10562,"$100,000 under $200,000",398869
10562,"$200,000 or more",550122
,,
10566,,"708,286"
10566,"$1 under $25,000",55753
10566,"$25,000 under $50,000",109664
10566,"$50,000 under $75,000",110257
10566,"$75,000 under $100,000",98854
10566,"$100,000 under $200,000",228070
10566,"$200,000 or more",105688
,,
10567,,"1,114,997"
10567,"$1 under $25,000",26510
10567,"$25,000 under $50,000",51240
10567,"$50,000 under $75,000",69599
10567,"$75,000 under $100,000",86726
10567,"$100,000 under $200,000",349954
10567,"$200,000 or more",530968
,,
10570,,"1,136,182"
10570,"$1 under $25,000",13945
10570,"$25,000 under $50,000",25962
10570,"$50,000 under $75,000",37478
10570,"$75,000 under $100,000",42478
10570,"$100,000 under $200,000",175387
10570,"$200,000 or more",840932
,,
10573,,"1,939,487"
10573,"$1 under $25,000",81873
10573,"$25,000 under $50,000",155231
10573,"$50,000 under $75,000",147090
10573,"$75,000 under $100,000",121874
10573,"$100,000 under $200,000",327274
10573,"$200,000 or more",1106145
,,
10576,,"885,333"
10576,"$1 under $25,000",4824
10576,"$25,000 under $50,000",8324
10576,"$50,000 under $75,000",12359
10576,"$75,000 under $100,000",14744
10576,"$100,000 under $200,000",71226
10576,"$200,000 or more",773856
,,
10577,,"1,529,377"
10577,"$1 under $25,000",3428
10577,"$25,000 under $50,000",5046
10577,"$50,000 under $75,000",9102
10577,"$75,000 under $100,000",6758
10577,"$100,000 under $200,000",27885
10577,"$200,000 or more",1477158
,,
10578,,"43,060"
10578,"$1 under $25,000",1318
10578,"$25,000 under $50,000",2381
10578,"$50,000 under $75,000",3051
10578,"$75,000 under $100,000",3452
10578,"$100,000 under $200,000",18031
10578,"$200,000 or more",14827
,,
10579,,"460,454"
10579,"$1 under $25,000",10550
10579,"$25,000 under $50,000",25015
10579,"$50,000 under $75,000",36652
10579,"$75,000 under $100,000",38131
10579,"$100,000 under $200,000",160121
10579,"$200,000 or more",189985
,,
10580,,"5,088,491"
10580,"$1 under $25,000",16448
10580,"$25,000 under $50,000",26466
10580,"$50,000 under $75,000",40038
10580,"$75,000 under $100,000",40991
10580,"$100,000 under $200,000",180411
10580,"$200,000 or more",4784137
,,
10583,,"7,507,560"
10583,"$1 under $25,000",35464
10583,"$25,000 under $50,000",64195
10583,"$50,000 under $75,000",92141
10583,"$75,000 under $100,000",112469
10583,"$100,000 under $200,000",478615
10583,"$200,000 or more",6724676
,,
10588,,"119,659"
10588,"$1 under $25,000",3973
10588,"$25,000 under $50,000",7500
10588,"$50,000 under $75,000",11046
10588,"$75,000 under $100,000",12906
10588,"$100,000 under $200,000",44129
10588,"$200,000 or more",40105
,,
10589,,"589,351"
10589,"$1 under $25,000",9144
10589,"$25,000 under $50,000",19773
10589,"$50,000 under $75,000",38085
10589,"$75,000 under $100,000",47236
10589,"$100,000 under $200,000",177415
10589,"$200,000 or more",297698
,,
10590,,"561,248"
10590,"$1 under $25,000",6853
10590,"$25,000 under $50,000",13295
10590,"$50,000 under $75,000",20455
10590,"$75,000 under $100,000",23378
10590,"$100,000 under $200,000",103282
10590,"$200,000 or more",393985
,,
10591,,"1,580,060"
10591,"$1 under $25,000",42427
10591,"$25,000 under $50,000",89055
10591,"$50,000 under $75,000",94879
10591,"$75,000 under $100,000",84119
10591,"$100,000 under $200,000",267703
10591,"$200,000 or more",1001877
,,
10594,,"327,352"
10594,"$1 under $25,000",6218
10594,"$25,000 under $50,000",13887
10594,"$50,000 under $75,000",19841
10594,"$75,000 under $100,000",20936
10594,"$100,000 under $200,000",88412
10594,"$200,000 or more",178058
,,
10595,,"455,838"
10595,"$1 under $25,000",7692
10595,"$25,000 under $50,000",16588
10595,"$50,000 under $75,000",23854
10595,"$75,000 under $100,000",26660
10595,"$100,000 under $200,000",118830
10595,"$200,000 or more",262214
,,
10597,,"172,814"
10597,"$1 under $25,000",928
10597,"$25,000 under $50,000",1485
10597,"$50,000 under $75,000",1846
10597,"$75,000 under $100,000",2196
10597,"$100,000 under $200,000",9745
10597,"$200,000 or more",156614
,,
10598,,"2,055,016"
10598,"$1 under $25,000",37028
10598,"$25,000 under $50,000",70611
10598,"$50,000 under $75,000",107462
10598,"$75,000 under $100,000",118640
10598,"$100,000 under $200,000",561414
10598,"$200,000 or more",1159861
,,
10601,,"1,163,689"
10601,"$1 under $25,000",20695
10601,"$25,000 under $50,000",41907
10601,"$50,000 under $75,000",56039
10601,"$75,000 under $100,000",50058
10601,"$100,000 under $200,000",143014
10601,"$200,000 or more",851976
,,
10603,,"834,600"
10603,"$1 under $25,000",32424
10603,"$25,000 under $50,000",72347
10603,"$50,000 under $75,000",95619
10603,"$75,000 under $100,000",92669
10603,"$100,000 under $200,000",256400
10603,"$200,000 or more",285141
,,
10604,,"820,692"
10604,"$1 under $25,000",19168
10604,"$25,000 under $50,000",40572
10604,"$50,000 under $75,000",47689
10604,"$75,000 under $100,000",47679
10604,"$100,000 under $200,000",125225
10604,"$200,000 or more",540359
,,
10605,,"1,683,035"
10605,"$1 under $25,000",26458
10605,"$25,000 under $50,000",53995
10605,"$50,000 under $75,000",74996
10605,"$75,000 under $100,000",80296
10605,"$100,000 under $200,000",305677
10605,"$200,000 or more",1141613
,,
10606,,"749,414"
10606,"$1 under $25,000",36298
10606,"$25,000 under $50,000",68362
10606,"$50,000 under $75,000",67159
10606,"$75,000 under $100,000",54617
10606,"$100,000 under $200,000",159827
10606,"$200,000 or more",363151
,,
10607,,"408,525"
10607,"$1 under $25,000",12919
10607,"$25,000 under $50,000",25611
10607,"$50,000 under $75,000",32908
10607,"$75,000 under $100,000",34128
10607,"$100,000 under $200,000",118363
10607,"$200,000 or more",184596
,,
10701,,"1,443,479"
10701,"$1 under $25,000",152840
10701,"$25,000 under $50,000",275864
10701,"$50,000 under $75,000",245460
10701,"$75,000 under $100,000",198125
10701,"$100,000 under $200,000",382651
10701,"$200,000 or more",188539
,,
10703,,"604,049"
10703,"$1 under $25,000",48302
10703,"$25,000 under $50,000",99231
10703,"$50,000 under $75,000",98299
10703,"$75,000 under $100,000",90950
10703,"$100,000 under $200,000",199648
10703,"$200,000 or more",67619
,,
10704,,"1,138,803"
10704,"$1 under $25,000",59963
10704,"$25,000 under $50,000",138475
10704,"$50,000 under $75,000",189880
10704,"$75,000 under $100,000",171870
10704,"$100,000 under $200,000",395177
10704,"$200,000 or more",183438
,,
10705,,"920,566"
10705,"$1 under $25,000",100662
10705,"$25,000 under $50,000",178101
10705,"$50,000 under $75,000",156091
10705,"$75,000 under $100,000",113929
10705,"$100,000 under $200,000",219661
10705,"$200,000 or more",152122
,,
10706,,"815,915"
10706,"$1 under $25,000",9894
10706,"$25,000 under $50,000",18740
10706,"$50,000 under $75,000",29711
10706,"$75,000 under $100,000",36453
10706,"$100,000 under $200,000",138185
10706,"$200,000 or more",582932
,,
10707,,"643,373"
10707,"$1 under $25,000",13008
10707,"$25,000 under $50,000",26161
10707,"$50,000 under $75,000",41916
10707,"$75,000 under $100,000",46940
10707,"$100,000 under $200,000",170836
10707,"$200,000 or more",344512
,,
10708,,"3,559,472"
10708,"$1 under $25,000",24536
10708,"$25,000 under $50,000",52541
10708,"$50,000 under $75,000",97438
10708,"$75,000 under $100,000",110483
10708,"$100,000 under $200,000",341724
10708,"$200,000 or more",2932750
,,
10709,,"719,892"
10709,"$1 under $25,000",11716
10709,"$25,000 under $50,000",24357
10709,"$50,000 under $75,000",37354
10709,"$75,000 under $100,000",39233
10709,"$100,000 under $200,000",153849
10709,"$200,000 or more",453383
,,
10710,,"1,145,710"
10710,"$1 under $25,000",43567
10710,"$25,000 under $50,000",99768
10710,"$50,000 under $75,000",138863
10710,"$75,000 under $100,000",150704
10710,"$100,000 under $200,000",422872
10710,"$200,000 or more",289936
,,
10801,,"1,343,074"
10801,"$1 under $25,000",82867
10801,"$25,000 under $50,000",151560
10801,"$50,000 under $75,000",152491
10801,"$75,000 under $100,000",150094
10801,"$100,000 under $200,000",358570
10801,"$200,000 or more",447492
,,
10803,,"1,671,988"
10803,"$1 under $25,000",13400
10803,"$25,000 under $50,000",27107
10803,"$50,000 under $75,000",39737
10803,"$75,000 under $100,000",38435
10803,"$100,000 under $200,000",155652
10803,"$200,000 or more",1397657
,,
10804,,"1,760,301"
10804,"$1 under $25,000",13066
10804,"$25,000 under $50,000",23221
10804,"$50,000 under $75,000",38664
10804,"$75,000 under $100,000",43077
10804,"$100,000 under $200,000",215796
10804,"$200,000 or more",1426477
,,
10805,,"650,985"
10805,"$1 under $25,000",32976
10805,"$25,000 under $50,000",76058
10805,"$50,000 under $75,000",95151
10805,"$75,000 under $100,000",95257
10805,"$100,000 under $200,000",191800
10805,"$200,000 or more",159743
,,
10901,,"1,394,853"
10901,"$1 under $25,000",34277
10901,"$25,000 under $50,000",71883
10901,"$50,000 under $75,000",91806
10901,"$75,000 under $100,000",93493
10901,"$100,000 under $200,000",337430
10901,"$200,000 or more",765964
,,
10913,,"351,360"
10913,"$1 under $25,000",7085
10913,"$25,000 under $50,000",12624
10913,"$50,000 under $75,000",18198
10913,"$75,000 under $100,000",19805
10913,"$100,000 under $200,000",92320
10913,"$200,000 or more",201328
,,
10916,,"221,230"
10916,"$1 under $25,000",5866
10916,"$25,000 under $50,000",13162
10916,"$50,000 under $75,000",16200
10916,"$75,000 under $100,000",18456
10916,"$100,000 under $200,000",82181
10916,"$200,000 or more",85365
,,
10917,,"93,851"
10917,"$1 under $25,000",3521
10917,"$25,000 under $50,000",6681
10917,"$50,000 under $75,000",8228
10917,"$75,000 under $100,000",8175
10917,"$100,000 under $200,000",30748
10917,"$200,000 or more",36498
,,
10918,,"485,950"
10918,"$1 under $25,000",17622
10918,"$25,000 under $50,000",35984
10918,"$50,000 under $75,000",50265
10918,"$75,000 under $100,000",59030
10918,"$100,000 under $200,000",185990
10918,"$200,000 or more",137059
,,
10919,,"45,728"
10919,"$1 under $25,000",2195
10919,"$25,000 under $50,000",4598
10919,"$50,000 under $75,000",4468
10919,"$75,000 under $100,000",5997
10919,"$100,000 under $200,000",17857
10919,"$200,000 or more",10613
,,
10920,,"415,677"
10920,"$1 under $25,000",12801
10920,"$25,000 under $50,000",26544
10920,"$50,000 under $75,000",33698
10920,"$75,000 under $100,000",42444
10920,"$100,000 under $200,000",159972
10920,"$200,000 or more",140218
,,
10921,,"167,448"
10921,"$1 under $25,000",7309
10921,"$25,000 under $50,000",13495
10921,"$50,000 under $75,000",20285
10921,"$75,000 under $100,000",21436
10921,"$100,000 under $200,000",68871
10921,"$200,000 or more",36052
,,
10923,,"323,893"
10923,"$1 under $25,000",18736
10923,"$25,000 under $50,000",38839
10923,"$50,000 under $75,000",47441
10923,"$75,000 under $100,000",43495
10923,"$100,000 under $200,000",115960
10923,"$200,000 or more",59422
,,
10924,,"622,246"
10924,"$1 under $25,000",19888
10924,"$25,000 under $50,000",39310
10924,"$50,000 under $75,000",52865
10924,"$75,000 under $100,000",51456
10924,"$100,000 under $200,000",205727
10924,"$200,000 or more",253000
,,
10925,,"195,224"
10925,"$1 under $25,000",8559
10925,"$25,000 under $50,000",17305
10925,"$50,000 under $75,000",23602
10925,"$75,000 under $100,000",27260
10925,"$100,000 under $200,000",66840
10925,"$200,000 or more",51658
,,
10926,,"142,017"
10926,"$1 under $25,000",6339
10926,"$25,000 under $50,000",15108
10926,"$50,000 under $75,000",19530
10926,"$75,000 under $100,000",20889
10926,"$100,000 under $200,000",47622
10926,"$200,000 or more",32529
,,
10927,,"263,917"
10927,"$1 under $25,000",39136
10927,"$25,000 under $50,000",59051
10927,"$50,000 under $75,000",41399
10927,"$75,000 under $100,000",27885
10927,"$100,000 under $200,000",59755
10927,"$200,000 or more",36691
,,
10928,,"131,279"
10928,"$1 under $25,000",10250
10928,"$25,000 under $50,000",21367
10928,"$50,000 under $75,000",21536
10928,"$75,000 under $100,000",18616
10928,"$100,000 under $200,000",38220
10928,"$200,000 or more",21290
,,
10930,,"404,925"
10930,"$1 under $25,000",12807
10930,"$25,000 under $50,000",25691
10930,"$50,000 under $75,000",32215
10930,"$75,000 under $100,000",38789
10930,"$100,000 under $200,000",157240
10930,"$200,000 or more",138183
,,
10931,,"27,244"
10931,"$1 under $25,000",1980
10931,"$25,000 under $50,000",4590
10931,"$50,000 under $75,000",4307
10931,"$75,000 under $100,000",4951
10931,"$100,000 under $200,000",11416
10931,"$200,000 or more",** 
,,
10940,,"1,368,193"
10940,"$1 under $25,000",111826
10940,"$25,000 under $50,000",226020
10940,"$50,000 under $75,000",220964
10940,"$75,000 under $100,000",202146
10940,"$100,000 under $200,000",435861
10940,"$200,000 or more",171376
,,
10941,,"457,186"
10941,"$1 under $25,000",27374
10941,"$25,000 under $50,000",63338
10941,"$50,000 under $75,000",71486
10941,"$75,000 under $100,000",64121
10941,"$100,000 under $200,000",151431
10941,"$200,000 or more",79436
,,
10950,,"1,387,728"
10950,"$1 under $25,000",84745
10950,"$25,000 under $50,000",121235
10950,"$50,000 under $75,000",125305
10950,"$75,000 under $100,000",132336
10950,"$100,000 under $200,000",469798
10950,"$200,000 or more",454309
,,
10952,,"1,235,734"
10952,"$1 under $25,000",72919
10952,"$25,000 under $50,000",92663
10952,"$50,000 under $75,000",75085
10952,"$75,000 under $100,000",71285
10952,"$100,000 under $200,000",218136
10952,"$200,000 or more",705646
,,
10954,,"1,071,259"
10954,"$1 under $25,000",39427
10954,"$25,000 under $50,000",83086
10954,"$50,000 under $75,000",102060
10954,"$75,000 under $100,000",116410
10954,"$100,000 under $200,000",384344
10954,"$200,000 or more",345932
,,
10956,,"2,028,943"
10956,"$1 under $25,000",40755
10956,"$25,000 under $50,000",79305
10956,"$50,000 under $75,000",106942
10956,"$75,000 under $100,000",126508
10956,"$100,000 under $200,000",584969
10956,"$200,000 or more",1090464
,,
10958,,"120,339"
10958,"$1 under $25,000",5599
10958,"$25,000 under $50,000",10871
10958,"$50,000 under $75,000",13887
10958,"$75,000 under $100,000",16175
10958,"$100,000 under $200,000",47815
10958,"$200,000 or more",25992
,,
10960,,"881,577"
10960,"$1 under $25,000",26791
10960,"$25,000 under $50,000",53946
10960,"$50,000 under $75,000",65710
10960,"$75,000 under $100,000",63316
10960,"$100,000 under $200,000",195371
10960,"$200,000 or more",476443
,,
10962,,"299,997"
10962,"$1 under $25,000",6895
10962,"$25,000 under $50,000",14021
10962,"$50,000 under $75,000",19687
10962,"$75,000 under $100,000",24569
10962,"$100,000 under $200,000",85571
10962,"$200,000 or more",149254
,,
10963,,"84,245"
10963,"$1 under $25,000",4621
10963,"$25,000 under $50,000",8810
10963,"$50,000 under $75,000",12586
10963,"$75,000 under $100,000",11329
10963,"$100,000 under $200,000",34951
10963,"$200,000 or more",11948
,,
10964,,"205,040"
10964,"$1 under $25,000",1930
10964,"$25,000 under $50,000",3364
10964,"$50,000 under $75,000",5195
10964,"$75,000 under $100,000",6313
10964,"$100,000 under $200,000",22020
10964,"$200,000 or more",166218
,,
10965,,"833,497"
10965,"$1 under $25,000",20374
10965,"$25,000 under $50,000",42638
10965,"$50,000 under $75,000",64211
10965,"$75,000 under $100,000",70804
10965,"$100,000 under $200,000",295050
10965,"$200,000 or more",340420
,,
10968,,"180,594"
10968,"$1 under $25,000",2578
10968,"$25,000 under $50,000",5996
10968,"$50,000 under $75,000",10003
10968,"$75,000 under $100,000",13235
10968,"$100,000 under $200,000",44047
