"ZIP
code [1]",Size of adjusted gross income,Adjusted gross income (AGI) [5]
,,
,,(17)
10543,"$1 under $25,000",30482
10543,"$25,000 under $50,000",55478
10543,"$50,000 under $75,000",74583
10543,"$75,000 under $100,000",73532
10543,"$100,000 under $200,000",249408
10543,"$200,000 or more",1349545
,,
10546,,"146,677"
10546,"$1 under $25,000",1018
10546,"$25,000 under $50,000",2493
10546,"$50,000 under $75,000",4275
10546,"$75,000 under $100,000",4971
10546,"$100,000 under $200,000",23484
10546,"$200,000 or more",110436
,,
10547,,"320,072"
10547,"$1 under $25,000",11844
10547,"$25,000 under $50,000",24539
10547,"$50,000 under $75,000",29837
10547,"$75,000 under $100,000",34168
10547,"$100,000 under $200,000",118884
10547,"$200,000 or more",100800
,,
10548,,"143,110"
10548,"$1 under $25,000",4700
10548,"$25,000 under $50,000",10219
10548,"$50,000 under $75,000",13947
10548,"$75,000 under $100,000",15480
10548,"$100,000 under $200,000",55260
10548,"$200,000 or more",43504
,,
10549,,"1,915,182"
10549,"$1 under $25,000",28120
10549,"$25,000 under $50,000",51841
10549,"$50,000 under $75,000",54379
10549,"$75,000 under $100,000",55150
10549,"$100,000 under $200,000",174757
10549,"$200,000 or more",1550935
,,
10550,,"779,713"
10550,"$1 under $25,000",105450
10550,"$25,000 under $50,000",216178
10550,"$50,000 under $75,000",170555
10550,"$75,000 under $100,000",112169
10550,"$100,000 under $200,000",147905
10550,"$200,000 or more",27456
,,
10552,,"879,023"
10552,"$1 under $25,000",35447
10552,"$25,000 under $50,000",86383
